stock_code,instrument_name,previous_market_code,previous_listing_date,current_api_present,listing_status,delisting_date,evidence_type,evidence_date,evidence_reference,evidence_hash,verification_result,review_note
068400,SK렌터카,KRX_KOSPI,2012-07-27,FALSE,LISTED,,NONE,,,,,MISSING_FROM_CURRENT_SOURCE|DELISTING_UNVERIFIED|NOT_INCLUDED_IN_V4_PAYLOAD
140910,에이리츠,KRX_KOSPI,2011-07-14,FALSE,LISTED,,NONE,,,,,MISSING_FROM_CURRENT_SOURCE|DELISTING_UNVERIFIED|NOT_INCLUDED_IN_V4_PAYLOAD
380440,엔에이치스팩19호,KRX_KOSPI,2021-05-21,FALSE,LISTED,,NONE,,,,,MISSING_FROM_CURRENT_SOURCE|DELISTING_UNVERIFIED|NOT_INCLUDED_IN_V4_PAYLOAD
010050,우리종금,KRX_KOSPI,1974-09-11,FALSE,LISTED,,NONE,,,,,MISSING_FROM_CURRENT_SOURCE|DELISTING_UNVERIFIED|NOT_INCLUDED_IN_V4_PAYLOAD
010600,웰바이오텍,KRX_KOSPI,1997-07-18,FALSE,LISTED,,NONE,,,,,MISSING_FROM_CURRENT_SOURCE|DELISTING_UNVERIFIED|NOT_INCLUDED_IN_V4_PAYLOAD
093230,이아이디,KRX_KOSPI,2007-11-01,FALSE,LISTED,,NONE,,,,,MISSING_FROM_CURRENT_SOURCE|DELISTING_UNVERIFIED|NOT_INCLUDED_IN_V4_PAYLOAD
008500,일정실업,KRX_KOSPI,1994-08-12,FALSE,LISTED,,NONE,,,,,MISSING_FROM_CURRENT_SOURCE|DELISTING_UNVERIFIED|NOT_INCLUDED_IN_V4_PAYLOAD
138490,코오롱플라스틱,KRX_KOSPI,2011-06-15,FALSE,LISTED,,NONE,,,,,MISSING_FROM_CURRENT_SOURCE|DELISTING_UNVERIFIED|NOT_INCLUDED_IN_V4_PAYLOAD
950210,프레스티지바이오파마,KRX_KOSPI,2021-02-05,FALSE,LISTED,,NONE,,,,,MISSING_FROM_CURRENT_SOURCE|DELISTING_UNVERIFIED|NOT_INCLUDED_IN_V4_PAYLOAD
096300,베트남개발1,KRX_KOSPI,2007-06-13,FALSE,LISTED,,NONE,,,,,MISSING_FROM_CURRENT_SOURCE|DELISTING_UNVERIFIED|NOT_INCLUDED_IN_V4_PAYLOAD
