stock_code,instrument_name,market_code,listing_date,listing_date_source,listing_status,listing_status_source,delisting_date,delisting_date_source,current_api_present,historical_api_date,evidence_reference,verification_result
010050,우리종금,KRX_KOSPI,1974-09-11,KRX_HISTORICAL_API,DELISTED,KRX_API_ABSENCE,,,FALSE,20240102_OR_EARLIER,KRX_OPEN_API_STK_ISU_BASE_INFO,VERIFIED_DELISTED
010600,웰바이오텍,KRX_KOSPI,1997-07-18,KRX_HISTORICAL_API,DELISTED,KRX_API_ABSENCE,,,FALSE,20240102_OR_EARLIER,KRX_OPEN_API_STK_ISU_BASE_INFO,VERIFIED_DELISTED
093230,이아이디,KRX_KOSPI,2007-11-01,KRX_HISTORICAL_API,DELISTED,KRX_API_ABSENCE,,,FALSE,20240102_OR_EARLIER,KRX_OPEN_API_STK_ISU_BASE_INFO,VERIFIED_DELISTED
008500,일정실업,KRX_KOSPI,1994-08-12,KRX_HISTORICAL_API,DELISTED,KRX_API_ABSENCE,,,FALSE,20240102_OR_EARLIER,KRX_OPEN_API_STK_ISU_BASE_INFO,VERIFIED_DELISTED
138490,코오롱플라스틱,KRX_KOSPI,2011-06-15,KRX_HISTORICAL_API,DELISTED,KRX_API_ABSENCE,,,FALSE,20240102_OR_EARLIER,KRX_OPEN_API_STK_ISU_BASE_INFO,VERIFIED_DELISTED
096300,베트남개발1,KRX_KOSPI,2007-06-13,KRX_HISTORICAL_API,DELISTED,KRX_API_ABSENCE,,,FALSE,20240102_OR_EARLIER,KRX_OPEN_API_STK_ISU_BASE_INFO,VERIFIED_DELISTED
152550,한국ANKOR유전,KRX_KOSPI,2012-03-08,KRX_HISTORICAL_API,DELISTED,KRX_API_ABSENCE,,,FALSE,20240102_OR_EARLIER,KRX_OPEN_API_STK_ISU_BASE_INFO,VERIFIED_DELISTED
168490,한국패러랠,KRX_KOSPI,2013-04-19,KRX_HISTORICAL_API,DELISTED,KRX_API_ABSENCE,,,FALSE,20240102_OR_EARLIER,KRX_OPEN_API_STK_ISU_BASE_INFO,VERIFIED_DELISTED
010420,한솔PNS,KRX_KOSPI,1989-05-31,KRX_HISTORICAL_API,DELISTED,KRX_API_ABSENCE,,,FALSE,20240102_OR_EARLIER,KRX_OPEN_API_STK_ISU_BASE_INFO,VERIFIED_DELISTED
006390,한일현대시멘트,KRX_KOSPI,1975-12-26,KRX_HISTORICAL_API,DELISTED,KRX_API_ABSENCE,,,FALSE,20240102_OR_EARLIER,KRX_OPEN_API_STK_ISU_BASE_INFO,VERIFIED_DELISTED
042670,현대두산인프라코어,KRX_KOSPI,2001-02-02,KRX_HISTORICAL_API,DELISTED,KRX_API_ABSENCE,,,FALSE,20240102_OR_EARLIER,KRX_OPEN_API_STK_ISU_BASE_INFO,VERIFIED_DELISTED
010620,현대미포조선,KRX_KOSPI,1983-12-20,KRX_HISTORICAL_API,DELISTED,KRX_API_ABSENCE,,,FALSE,20240102_OR_EARLIER,KRX_OPEN_API_STK_ISU_BASE_INFO,VERIFIED_DELISTED
057050,현대홈쇼핑,KRX_KOSPI,2010-09-13,KRX_HISTORICAL_API,DELISTED,KRX_API_ABSENCE,,,FALSE,20240102_OR_EARLIER,KRX_OPEN_API_STK_ISU_BASE_INFO,VERIFIED_DELISTED
950110,SBI핀테크솔루션즈,KRX_KOSDAQ,2012-12-17,KRX_HISTORICAL_API,DELISTED,KRX_API_ABSENCE,,,FALSE,20240102_OR_EARLIER,KRX_OPEN_API_STK_ISU_BASE_INFO,VERIFIED_DELISTED
014200,광림,KRX_KOSDAQ,1993-07-07,KRX_HISTORICAL_API,DELISTED,KRX_API_ABSENCE,,,FALSE,20240102_OR_EARLIER,KRX_OPEN_API_STK_ISU_BASE_INFO,VERIFIED_DELISTED
397880,교보11호스팩,KRX_KOSDAQ,2021-12-20,KRX_HISTORICAL_API,DELISTED,KRX_API_ABSENCE,,,FALSE,20240102_OR_EARLIER,KRX_OPEN_API_STK_ISU_BASE_INFO,VERIFIED_DELISTED
421800,교보12호스팩,KRX_KOSDAQ,2022-06-24,KRX_HISTORICAL_API,DELISTED,KRX_API_ABSENCE,,,FALSE,20240102_OR_EARLIER,KRX_OPEN_API_STK_ISU_BASE_INFO,VERIFIED_DELISTED
440790,교보13호스팩,KRX_KOSDAQ,2022-11-02,KRX_HISTORICAL_API,DELISTED,KRX_API_ABSENCE,,,FALSE,20240102_OR_EARLIER,KRX_OPEN_API_STK_ISU_BASE_INFO,VERIFIED_DELISTED
106520,노블엠앤비,KRX_KOSDAQ,2012-07-13,KRX_HISTORICAL_API,DELISTED,KRX_API_ABSENCE,,,FALSE,20240102_OR_EARLIER,KRX_OPEN_API_STK_ISU_BASE_INFO,VERIFIED_DELISTED
065560,녹원씨엔아이,KRX_KOSDAQ,2003-07-01,KRX_HISTORICAL_API,DELISTED,KRX_API_ABSENCE,,,FALSE,20240102_OR_EARLIER,KRX_OPEN_API_STK_ISU_BASE_INFO,VERIFIED_DELISTED
214870,뉴지랩파마,KRX_KOSDAQ,2015-10-13,KRX_HISTORICAL_API,DELISTED,KRX_API_ABSENCE,,,FALSE,20240102_OR_EARLIER,KRX_OPEN_API_STK_ISU_BASE_INFO,VERIFIED_DELISTED
298870,다올인베스트먼트,KRX_KOSDAQ,2021-12-16,KRX_HISTORICAL_API,DELISTED,KRX_API_ABSENCE,,,FALSE,20240102_OR_EARLIER,KRX_OPEN_API_STK_ISU_BASE_INFO,VERIFIED_DELISTED
387310,대신밸런스제10호스팩,KRX_KOSDAQ,2021-09-17,KRX_HISTORICAL_API,DELISTED,KRX_API_ABSENCE,,,FALSE,20240102_OR_EARLIER,KRX_OPEN_API_STK_ISU_BASE_INFO,VERIFIED_DELISTED
397500,대신밸런스제11호스팩,KRX_KOSDAQ,2021-12-02,KRX_HISTORICAL_API,DELISTED,KRX_API_ABSENCE,,,FALSE,20240102_OR_EARLIER,KRX_OPEN_API_STK_ISU_BASE_INFO,VERIFIED_DELISTED
426670,대신밸런스제12호스팩,KRX_KOSDAQ,2022-07-14,KRX_HISTORICAL_API,DELISTED,KRX_API_ABSENCE,,,FALSE,20240102_OR_EARLIER,KRX_OPEN_API_STK_ISU_BASE_INFO,VERIFIED_DELISTED
438220,대신밸런스제13호스팩,KRX_KOSDAQ,2022-11-28,KRX_HISTORICAL_API,DELISTED,KRX_API_ABSENCE,,,FALSE,20240102_OR_EARLIER,KRX_OPEN_API_STK_ISU_BASE_INFO,VERIFIED_DELISTED
442310,대신밸런스제14호스팩,KRX_KOSDAQ,2022-12-05,KRX_HISTORICAL_API,DELISTED,KRX_API_ABSENCE,,,FALSE,20240102_OR_EARLIER,KRX_OPEN_API_STK_ISU_BASE_INFO,VERIFIED_DELISTED
006580,대양제지,KRX_KOSDAQ,1993-12-29,KRX_HISTORICAL_API,DELISTED,KRX_API_ABSENCE,,,FALSE,20240102_OR_EARLIER,KRX_OPEN_API_STK_ISU_BASE_INFO,VERIFIED_DELISTED
290380,대유,KRX_KOSDAQ,2018-08-10,KRX_HISTORICAL_API,DELISTED,KRX_API_ABSENCE,,,FALSE,20240102_OR_EARLIER,KRX_OPEN_API_STK_ISU_BASE_INFO,VERIFIED_DELISTED
161570,THE MIDONG,KRX_KOSDAQ,2013-11-13,KRX_HISTORICAL_API,DELISTED,KRX_API_ABSENCE,,,FALSE,20240102_OR_EARLIER,KRX_OPEN_API_STK_ISU_BASE_INFO,VERIFIED_DELISTED
217620,디딤이앤에프,KRX_KOSDAQ,2015-06-10,KRX_HISTORICAL_API,DELISTED,KRX_API_ABSENCE,,,FALSE,20240102_OR_EARLIER,KRX_OPEN_API_STK_ISU_BASE_INFO,VERIFIED_DELISTED
404950,DB금융스팩10호,KRX_KOSDAQ,2022-01-20,KRX_HISTORICAL_API,DELISTED,KRX_API_ABSENCE,,,FALSE,20240102_OR_EARLIER,KRX_OPEN_API_STK_ISU_BASE_INFO,VERIFIED_DELISTED
367340,DB금융스팩8호,KRX_KOSDAQ,2020-12-09,KRX_HISTORICAL_API,DELISTED,KRX_API_ABSENCE,,,FALSE,20240102_OR_EARLIER,KRX_OPEN_API_STK_ISU_BASE_INFO,VERIFIED_DELISTED
367360,DB금융스팩9호,KRX_KOSDAQ,2021-03-16,KRX_HISTORICAL_API,DELISTED,KRX_API_ABSENCE,,,FALSE,20240102_OR_EARLIER,KRX_OPEN_API_STK_ISU_BASE_INFO,VERIFIED_DELISTED
141020,디에스앤엘,KRX_KOSDAQ,2013-01-29,KRX_HISTORICAL_API,DELISTED,KRX_API_ABSENCE,,,FALSE,20240102_OR_EARLIER,KRX_OPEN_API_STK_ISU_BASE_INFO,VERIFIED_DELISTED
085370,루트로닉,KRX_KOSDAQ,2006-07-04,KRX_HISTORICAL_API,DELISTED,KRX_API_ABSENCE,,,FALSE,20240102_OR_EARLIER,KRX_OPEN_API_STK_ISU_BASE_INFO,VERIFIED_DELISTED
060240,룽투코리아,KRX_KOSDAQ,2002-01-04,KRX_HISTORICAL_API,DELISTED,KRX_API_ABSENCE,,,FALSE,20240102_OR_EARLIER,KRX_OPEN_API_STK_ISU_BASE_INFO,VERIFIED_DELISTED
096640,멜파스,KRX_KOSDAQ,2009-12-18,KRX_HISTORICAL_API,DELISTED,KRX_API_ABSENCE,,,FALSE,20240102_OR_EARLIER,KRX_OPEN_API_STK_ISU_BASE_INFO,VERIFIED_DELISTED
353490,미래에셋대우스팩 5호,KRX_KOSDAQ,2020-08-28,KRX_HISTORICAL_API,DELISTED,KRX_API_ABSENCE,,,FALSE,20240102_OR_EARLIER,KRX_OPEN_API_STK_ISU_BASE_INFO,VERIFIED_DELISTED
412930,미래에셋비전스팩1호,KRX_KOSDAQ,2022-04-21,KRX_HISTORICAL_API,DELISTED,KRX_API_ABSENCE,,,FALSE,20240102_OR_EARLIER,KRX_OPEN_API_STK_ISU_BASE_INFO,VERIFIED_DELISTED
032980,바이온,KRX_KOSDAQ,1997-08-06,KRX_HISTORICAL_API,DELISTED,KRX_API_ABSENCE,,,FALSE,20240102_OR_EARLIER,KRX_OPEN_API_STK_ISU_BASE_INFO,VERIFIED_DELISTED
222160,바이옵트로,KRX_KOSDAQ,2021-11-18,KRX_HISTORICAL_API,DELISTED,KRX_API_ABSENCE,,,FALSE,20240102_OR_EARLIER,KRX_OPEN_API_STK_ISU_BASE_INFO,VERIFIED_DELISTED
299910,베스파,KRX_KOSDAQ,2018-12-03,KRX_HISTORICAL_API,DELISTED,KRX_API_ABSENCE,,,FALSE,20240102_OR_EARLIER,KRX_OPEN_API_STK_ISU_BASE_INFO,VERIFIED_DELISTED
148140,비디아이,KRX_KOSDAQ,2017-11-09,KRX_HISTORICAL_API,DELISTED,KRX_API_ABSENCE,,,FALSE,20240102_OR_EARLIER,KRX_OPEN_API_STK_ISU_BASE_INFO,VERIFIED_DELISTED
445360,비엔케이제1호스팩,KRX_KOSDAQ,2022-12-22,KRX_HISTORICAL_API,DELISTED,KRX_API_ABSENCE,,,FALSE,20240102_OR_EARLIER,KRX_OPEN_API_STK_ISU_BASE_INFO,VERIFIED_DELISTED
335890,비올,KRX_KOSDAQ,2019-12-03,KRX_HISTORICAL_API,DELISTED,KRX_API_ABSENCE,,,FALSE,20240102_OR_EARLIER,KRX_OPEN_API_STK_ISU_BASE_INFO,VERIFIED_DELISTED
138580,비즈니스온,KRX_KOSDAQ,2017-11-30,KRX_HISTORICAL_API,DELISTED,KRX_API_ABSENCE,,,FALSE,20240102_OR_EARLIER,KRX_OPEN_API_STK_ISU_BASE_INFO,VERIFIED_DELISTED
377630,삼성스팩4호,KRX_KOSDAQ,2021-05-21,KRX_HISTORICAL_API,DELISTED,KRX_API_ABSENCE,,,FALSE,20240102_OR_EARLIER,KRX_OPEN_API_STK_ISU_BASE_INFO,VERIFIED_DELISTED
425290,삼성스팩6호,KRX_KOSDAQ,2022-06-30,KRX_HISTORICAL_API,DELISTED,KRX_API_ABSENCE,,,FALSE,20240102_OR_EARLIER,KRX_OPEN_API_STK_ISU_BASE_INFO,VERIFIED_DELISTED
439250,삼성스팩7호,KRX_KOSDAQ,2022-10-26,KRX_HISTORICAL_API,DELISTED,KRX_API_ABSENCE,,,FALSE,20240102_OR_EARLIER,KRX_OPEN_API_STK_ISU_BASE_INFO,VERIFIED_DELISTED
380320,삼성머스트스팩5호,KRX_KOSDAQ,2021-06-17,KRX_HISTORICAL_API,DELISTED,KRX_API_ABSENCE,,,FALSE,20240102_OR_EARLIER,KRX_OPEN_API_STK_ISU_BASE_INFO,VERIFIED_DELISTED
415580,상상인제3호스팩,KRX_KOSDAQ,2022-04-29,KRX_HISTORICAL_API,DELISTED,KRX_API_ABSENCE,,,FALSE,20240102_OR_EARLIER,KRX_OPEN_API_STK_ISU_BASE_INFO,VERIFIED_DELISTED
222810,세토피아,KRX_KOSDAQ,2015-08-13,KRX_HISTORICAL_API,DELISTED,KRX_API_ABSENCE,,,FALSE,20240102_OR_EARLIER,KRX_OPEN_API_STK_ISU_BASE_INFO,VERIFIED_DELISTED
268600,셀리버리,KRX_KOSDAQ,2018-11-09,KRX_HISTORICAL_API,DELISTED,KRX_API_ABSENCE,,,FALSE,20240102_OR_EARLIER,KRX_OPEN_API_STK_ISU_BASE_INFO,VERIFIED_DELISTED
091990,셀트리온헬스케어,KRX_KOSDAQ,2017-07-28,KRX_HISTORICAL_API,DELISTED,KRX_API_ABSENCE,,,FALSE,20240102_OR_EARLIER,KRX_OPEN_API_STK_ISU_BASE_INFO,VERIFIED_DELISTED
136510,스마트솔루션즈,KRX_KOSDAQ,2011-11-18,KRX_HISTORICAL_API,DELISTED,KRX_API_ABSENCE,,,FALSE,20240102_OR_EARLIER,KRX_OPEN_API_STK_ISU_BASE_INFO,VERIFIED_DELISTED
204630,스튜디오산타클로스,KRX_KOSDAQ,2014-12-29,KRX_HISTORICAL_API,DELISTED,KRX_API_ABSENCE,,,FALSE,20240102_OR_EARLIER,KRX_OPEN_API_STK_ISU_BASE_INFO,VERIFIED_DELISTED
139050,시티랩스,KRX_KOSDAQ,2011-07-29,KRX_HISTORICAL_API,DELISTED,KRX_API_ABSENCE,,,FALSE,20240102_OR_EARLIER,KRX_OPEN_API_STK_ISU_BASE_INFO,VERIFIED_DELISTED
344050,신영스팩6호,KRX_KOSDAQ,2020-02-12,KRX_HISTORICAL_API,DELISTED,KRX_API_ABSENCE,,,FALSE,20240102_OR_EARLIER,KRX_OPEN_API_STK_ISU_BASE_INFO,VERIFIED_DELISTED
