market,source_short_code,source_standard_code,source_name,source_security_type,matched_instrument_id,match_method,result,reason_code
KRX_KOSPI,095570,095570,AJ네트웍스,UNKNOWN,valid_id,EXACT_MATCH,INCLUDED,
KRX_KOSPI,006840,006840,AK홀딩스,UNKNOWN,valid_id,EXACT_MATCH,INCLUDED,
KRX_KOSPI,282330,282330,BGF리테일,UNKNOWN,valid_id,EXACT_MATCH,INCLUDED,
KRX_KOSPI,027410,027410,BGF,UNKNOWN,valid_id,EXACT_MATCH,INCLUDED,
KRX_KOSPI,138930,138930,BNK금융지주,UNKNOWN,valid_id,EXACT_MATCH,INCLUDED,
KRX_KOSPI,001465,001465,BYC우,UNKNOWN,valid_id,EXACT_MATCH,INCLUDED,
KRX_KOSPI,001460,001460,BYC,UNKNOWN,valid_id,EXACT_MATCH,INCLUDED,
KRX_KOSPI,001045,001045,CJ우,UNKNOWN,valid_id,EXACT_MATCH,INCLUDED,
KRX_KOSPI,00104K,00104K,CJ4우(전환),UNKNOWN,valid_id,EXACT_MATCH,INCLUDED,
KRX_KOSPI,001040,001040,CJ,UNKNOWN,valid_id,EXACT_MATCH,INCLUDED,
KRX_KOSPI,011155,011155,CJ씨푸드1우,UNKNOWN,valid_id,EXACT_MATCH,INCLUDED,
KRX_KOSPI,011150,011150,CJ씨푸드,UNKNOWN,valid_id,EXACT_MATCH,INCLUDED,
KRX_KOSPI,000590,000590,CS홀딩스,UNKNOWN,valid_id,EXACT_MATCH,INCLUDED,
KRX_KOSPI,012030,012030,DB,UNKNOWN,valid_id,EXACT_MATCH,INCLUDED,
KRX_KOSPI,005830,005830,DB손해보험,UNKNOWN,valid_id,EXACT_MATCH,INCLUDED,
KRX_KOSPI,016610,016610,DB증권,UNKNOWN,valid_id,EXACT_MATCH,INCLUDED,
KRX_KOSPI,000990,000990,DB하이텍,UNKNOWN,valid_id,EXACT_MATCH,INCLUDED,
KRX_KOSPI,001530,001530,DI동일,UNKNOWN,valid_id,EXACT_MATCH,INCLUDED,
KRX_KOSPI,000215,000215,DL우,UNKNOWN,valid_id,EXACT_MATCH,INCLUDED,
KRX_KOSPI,000210,000210,DL,UNKNOWN,valid_id,EXACT_MATCH,INCLUDED,
KRX_KOSPI,37550K,37550K,DL이앤씨우,UNKNOWN,valid_id,EXACT_MATCH,INCLUDED,
KRX_KOSPI,37550L,37550L,DL이앤씨2우(전환),UNKNOWN,valid_id,EXACT_MATCH,INCLUDED,
KRX_KOSPI,375500,375500,DL이앤씨,UNKNOWN,valid_id,EXACT_MATCH,INCLUDED,
KRX_KOSPI,155660,155660,DSR,UNKNOWN,valid_id,EXACT_MATCH,INCLUDED,
KRX_KOSPI,069730,069730,DSR제강,UNKNOWN,valid_id,EXACT_MATCH,INCLUDED,
KRX_KOSPI,017860,017860,DS단석,UNKNOWN,valid_id,EXACT_MATCH,INCLUDED,
KRX_KOSPI,017940,017940,E1,UNKNOWN,valid_id,EXACT_MATCH,INCLUDED,
KRX_KOSPI,365550,365550,ESR켄달스퀘어리츠,UNKNOWN,valid_id,EXACT_MATCH,INCLUDED,
KRX_KOSPI,383220,383220,F&F,UNKNOWN,valid_id,EXACT_MATCH,INCLUDED,
KRX_KOSPI,007700,007700,F&F홀딩스,UNKNOWN,valid_id,EXACT_MATCH,INCLUDED,
KRX_KOSPI,078935,078935,GS우,UNKNOWN,valid_id,EXACT_MATCH,INCLUDED,
KRX_KOSPI,006360,006360,GS건설,UNKNOWN,valid_id,EXACT_MATCH,INCLUDED,
KRX_KOSPI,078930,078930,GS,UNKNOWN,valid_id,EXACT_MATCH,INCLUDED,
KRX_KOSPI,012630,012630,HDC,UNKNOWN,valid_id,EXACT_MATCH,INCLUDED,
KRX_KOSPI,097230,097230,HJ중공업,UNKNOWN,valid_id,EXACT_MATCH,INCLUDED,
KRX_KOSPI,014790,014790,HL D&I,UNKNOWN,valid_id,EXACT_MATCH,INCLUDED,
KRX_KOSPI,204320,204320,HL만도,UNKNOWN,valid_id,EXACT_MATCH,INCLUDED,
KRX_KOSPI,060980,060980,HL홀딩스,UNKNOWN,valid_id,EXACT_MATCH,INCLUDED,
KRX_KOSPI,035000,035000,HS애드,UNKNOWN,valid_id,EXACT_MATCH,INCLUDED,
KRX_KOSPI,015360,015360,INVENI,UNKNOWN,valid_id,EXACT_MATCH,INCLUDED,
KRX_KOSPI,175330,175330,JB금융지주,UNKNOWN,valid_id,EXACT_MATCH,INCLUDED,
KRX_KOSPI,234080,234080,JW생명과학,UNKNOWN,valid_id,EXACT_MATCH,INCLUDED,
KRX_KOSPI,001065,001065,JW중외제약우,UNKNOWN,valid_id,EXACT_MATCH,INCLUDED,
KRX_KOSPI,001067,001067,JW중외제약2우B,UNKNOWN,valid_id,EXACT_MATCH,INCLUDED,
KRX_KOSPI,001060,001060,JW중외제약,UNKNOWN,valid_id,EXACT_MATCH,INCLUDED,
KRX_KOSPI,096760,096760,JW홀딩스,UNKNOWN,valid_id,EXACT_MATCH,INCLUDED,
KRX_KOSPI,105560,105560,KB금융,UNKNOWN,valid_id,EXACT_MATCH,INCLUDED,
KRX_KOSPI,432320,432320,KB스타리츠,UNKNOWN,valid_id,EXACT_MATCH,INCLUDED,
KRX_KOSPI,009070,009070,KCTC,UNKNOWN,valid_id,EXACT_MATCH,INCLUDED,
KRX_KOSPI,003620,003620,KG모빌리티,UNKNOWN,valid_id,EXACT_MATCH,INCLUDED,
KRX_KOSPI,016380,016380,KG스틸,UNKNOWN,valid_id,EXACT_MATCH,INCLUDED,
KRX_KOSPI,001390,001390,KG케미칼,UNKNOWN,valid_id,EXACT_MATCH,INCLUDED,
KRX_KOSPI,001940,001940,KISCO홀딩스,UNKNOWN,valid_id,EXACT_MATCH,INCLUDED,
KRX_KOSPI,025000,025000,KPX케미칼,UNKNOWN,valid_id,EXACT_MATCH,INCLUDED,
KRX_KOSPI,092230,092230,KPX홀딩스,UNKNOWN,valid_id,EXACT_MATCH,INCLUDED,
KRX_KOSPI,000040,000040,KR모터스,UNKNOWN,valid_id,EXACT_MATCH,INCLUDED,
KRX_KOSPI,093050,093050,LF,UNKNOWN,valid_id,EXACT_MATCH,INCLUDED,
KRX_KOSPI,003555,003555,LG우,UNKNOWN,valid_id,EXACT_MATCH,INCLUDED,
